序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
7,此设备已禁用已安装的Google Play服务版本。,The installed version of Google Play services has been disabled on this device.,تم تعطيل الإصدار المحمل من خدمات Google Play لهذا الجهاز.,Yüklü Google Play hizmetleri etkinleştirilmemiş.,Versi Layanan Google Play yang terpasang telah dinonaktifkan untuk perangkat ini.,Установленная версия Сервисов Google Play отключена для этого устройства.,이 기기에 설치된 Google Play 서비스 버전이 사용 중지되었습니다.,A versão instalada do Google Play Services foi desativada para este dispositivo.,บริการ Google Play เวอร์ชันที่ติดตั้งถูกปิดใช้งานสำหรับอุปกรณ์นี้,La versión instalada de Google Play Services se ha inhabilitado para este dispositivo.,इस डिवाइस के लिए Google Play Services का इंस्टॉल किया गया संस्करण अक्षम कर दिया गया है।,Phiên bản đã cài đặt của Dịch vụ Google Play đã bị tắt cho thiết bị này.,تم تعطيل الإصدار المثبت من خدمات Google Play لهذا الجهاز.
8,此设备上安装的Google Play服务版本不正确。,The version of the Google Play services installed on this device is not authentic.,إصدار Google Play Services المحمل على هذا الجهاز غير صحيح.,Yüklü Google Play hizmetleri orijinal değil.,Versi Layanan Google Play yang dipasang di perangkat ini salah.,На этом устройстве установлена ​​неверная версия сервисов Google Play.,이 기기에 설치된 Google Play 서비스 버전이 올바르지 않습니다.,A versão do Google Play Services instalada neste dispositivo está incorreta.,เวอร์ชันของบริการ Google Play ที่ติดตั้งบนอุปกรณ์นี้ไม่ถูกต้อง,La versión de Google Play Services instalada en este dispositivo es incorrecta.,इस डिवाइस पर स्थापित Google Play Services का संस्करण गलत है।,Phiên bản Dịch vụ của Google Play được cài đặt trên thiết bị này không chính xác.,إصدار Google Play Services المثبت على هذا الجهاز غير صحيح.
9,匹配,Match,مباراة,Eşleşme,Pertandingan,Соответствие,시합,Combine,การแข่งขัน,Partido,मैच,Trận đấu,میچ
10,你因为违反相关规定，已经被封禁！,You have been banned for violating relevant regulations!,تم محظور بسبب مخالفة القوانين المتعلقة,Kuralları ihlal ettiğiniz için engellendiniz.,Anda telah diblokir karena melanggar peraturan terkait!,Вас забанили за нарушение соответствующих правил!,관련 규정 위반으로 금지되었습니다!,Você foi banido por violar os regulamentos relevantes!,คุณถูกแบนเนื่องจากละเมิดกฎระเบียบที่เกี่ยวข้อง!,¡Ha sido expulsado por violar las regulaciones relevantes!,आपको प्रासंगिक नियमों का उल्लंघन करने के लिए प्रतिबंधित किया गया है!,Bạn đã bị cấm vì vi phạm các quy định có liên quan!,آپ سے متعلقہ قواعد و ضوابط کی خلاف ورزی کرنے پر پابندی عائد کردی گئی ہے!
1,快上线吧，有人现在想和你视频聊天！,"Go online now, someone wants to video chat with you!",سجل دخول الآن ، يريد شخص ما إجراء محادثة فيديو معك!,"Hemen online ol, seninle görüntülü sohbet etmek isteyen biri var!","Sambungkan ke internet sekarang, seseorang ingin melakukan obrolan video dengan Anda","Идите в Интернет прямо сейчас, кто-то хочет пообщаться с вами в видеочате!",지금 온라인에 접속하세요. 누군가 나와 영상 채팅을하고 싶어합니다.,"Fique online agora, alguém quer bater papo por vídeo com você",ออนไลน์ตอนนี้มีคนต้องการวิดีโอแชทกับคุณ!,"Conéctate ahora, alguien quiere chatear por video contigo","अब ऑनलाइन जाएं, कोई आपके साथ वीडियो चैट करना चाहता है","Hãy trực tuyến ngay bây giờ, ai đó muốn trò chuyện video với bạn",اب آن لائن جائیں ، کوئی آپ کے ساتھ ویڈیو چیٹ کرنا چاہتا ہے
2,收到一份视频聊天邀请,Receive a video chat invitation,تلقي دعوة دردشة فيديو,Görüntülü sohbet daveti alındı.,Terima undangan obrolan video,Получите приглашение в видеочат,영상 채팅 초대 받기,Receba um convite de chat de vídeo,รับคำเชิญวิดีโอแชท,Reciba una invitación para video chat,एक वीडियो चैट आमंत्रण प्राप्त करें,Nhận lời mời trò chuyện video,ویڈیو چیٹ کی دعوت نامہ وصول کریں
3,打开通知，有人想和你视频聊天将马上通知你上线,"Turn on the notification,We will immediately notify if someone wants to video chat with you ",قم بتشغيل الإشعار ، وسوف نخطرك على الفور إذا كان هناك من يريد الدردشة بالفيديو معك,Bildirimleri açın. Görüntülü sohbet etmek isteyen biri olduğunda sizi hemen bilgilendireceğiz.,"Nyalakan notifikasi, Kami akan segera memberi tahu jika seseorang ingin melakukan obrolan video dengan Anda","Включите уведомление, мы немедленно сообщим, если кто-то захочет с вами пообщаться в видеочате",알림을 켜면 누군가 영상 채팅을 원하는 경우 즉시 알려드립니다.,"Ative a notificação, notificaremos imediatamente se alguém quiser bater papo por vídeo com você",เปิดการแจ้งเตือนเราจะแจ้งทันทีหากมีคนต้องการวิดีโอแชทกับคุณ,"Encienda la notificación, le notificaremos inmediatamente si alguien quiere chatear por video con usted","अधिसूचना चालू करें, हम तुरंत सूचित करेंगे कि क्या कोई आपके साथ वीडियो चैट करना चाहता है","Bật thông báo, Chúng tôi sẽ thông báo ngay lập tức nếu ai đó muốn trò chuyện video với bạn",نوٹیفکیشن کو آن کریں ، اگر کوئی آپ کے ساتھ ویڈیو چیٹ کرنا چاہتا ہے تو ہم فوری طور پر مطلع کریں گے
4,对方没有露脸，有可能衣着暴露，系统已经为你添加遮罩。你可以重新匹配，或者移除遮罩,"The other side does not show face, and may be naked,system has already added a mask for you. You can rematch, or you can remove the mask",الجانب الآخر لا يواجه الكاميرا ، وقد يكون عارياً ، فقد أضاف النظام بالفعل قناعًا لك. يمكنك إعادة ملاءمة ، أو يمكنك إزالة القناع.,"Diğer taraf kameraya yüzünü göstermiyor, çıplak olabilir. Sistem sizin için bir maske ekledi, yeni bir eşleşme yapabilir veya maskeyi kaldırabilirsiniz.","Sisi lain tidak menunjukkan wajah, dan mungkin telanjang, sistem telah menambahkan topeng untuk Anda. Anda dapat mencocokkan ulang, atau Anda dapat menghapus topeng","Другая сторона не показывает лицо и может быть обнаженной, система уже добавила вам маску. Вы можете повторить матч, или вы можете снять маску",다른 쪽은 얼굴이 보이지 않고 알몸 일 수 있습니다. 시스템에서 이미 마스크를 추가했습니다. 다시 매치하거나 마스크를 제거 할 수 있습니다.,"O outro lado não mostra rosto, e pode ficar nu, o sistema já adicionou uma máscara para você. Você pode revidar ou remover a máscara",อีกด้านไม่แสดงใบหน้าและอาจเปลือยเปล่าระบบได้เพิ่มหน้ากากให้คุณแล้ว คุณสามารถจับคู่ใหม่หรือถอดหน้ากากออกก็ได้,"El otro lado no muestra la cara y puede estar desnudo, el sistema ya ha agregado una máscara para usted. Puedes revancha o puedes quitar la máscara","दूसरा पक्ष चेहरा नहीं दिखाता है, और नग्न हो सकता है, सिस्टम ने पहले ही आपके लिए एक मुखौटा जोड़ दिया है। आप रीमैच कर सकते हैं, या आप मास्क हटा सकते हैं","Mặt còn lại không hiển thị khuôn mặt và có thể khỏa thân, hệ thống đã thêm mặt nạ cho bạn. Bạn có thể tái đấu hoặc bạn có thể gỡ bỏ mặt nạ",دوسری طرف چہرہ نہیں دکھاتا ہے ، اور ہوسکتا ہے کہ ننگا ہو ، نظام نے پہلے ہی آپ کے لئے ماسک جوڑ دیا ہے۔ آپ دوبارہ میچ کرسکتے ہیں ، یا آپ ماسک کو ہٹا سکتے ہیں
5,您没有露脸，请露脸进行友善聊天，否则对方可能马上结束视频通话,"Please show your face and chat friendly, or the other side may end up the video call.",يرجى إظهار وجهك والدردشة ، أو قد ينتهي الجانب الآخر بمكالمة الفيديو.,"Lütfen yüzünüzü gösterin ve arkadaşça sohbet edin, aksi takdirde karşı taraf görüntülü aramayı sonlandırabilir.","Tunjukkan wajah Anda dan teman mengobrol, atau pihak lain mungkin mengakhiri panggilan video.","Покажите свое лицо и пообщайтесь в чате, иначе другая сторона может закончить видеозвонок.",얼굴을 보여주고 친근하게 채팅하지 않으면 상대방이 화상 통화를 끝낼 수 있습니다.,"Mostre sua cara e converse amigavelmente, ou o outro lado pode encerrar a videochamada.",กรุณาแสดงใบหน้าของคุณและพูดคุยอย่างเป็นมิตรมิฉะนั้นอีกด้านหนึ่งอาจจบแฮงเอาท์วิดีโอ,"Muestra tu cara y chatea amigablemente, o el otro lado puede terminar la videollamada.","कृपया अपना चेहरा और चैट अनुकूल दिखाएं, या दूसरा पक्ष वीडियो कॉल को समाप्त कर सकता है।","Vui lòng thể hiện khuôn mặt của bạn và trò chuyện thân thiện, nếu không bên kia có thể kết thúc cuộc gọi điện video.",براہ کرم اپنا چہرہ دکھائیں اور دوستانہ گفتگو کریں ، یا دوسری طرف سے ویڈیو کال ختم ہوسکتی ہے۔
6,登录取消,Login cancel,إلغاء تسجيل الدخول,Giriş İptal Edildi,Batal login,Войти отменить,로그인 취소,Cancelamento de login,เข้าสู่ระบบยกเลิก,Iniciar sesión cancelar,लॉगिन रद्द करें,Đăng nhập Hủy bỏ,لاگ ان منسوخ
1,互相喜欢或发送消息即可解锁视频电话,Like each other or send message directly to unlock the video call,حب بعضكم البعض أو إرسال الرسائل لفتح مكالمات الفيديو,"Birbirinizi beğenin veya birbirinize mesaj gönderin, görüntülü aramayı açın.","Sukai satu sama lain atau Kirim pesan secara langsung, lalu dapat membuka kunci panggilan video","Ставьте лайки друг другу или отправляйте сообщения, разблокируйте видеозвонки",서로 좋아하거나 메시지를 보내고 화상 통화를 잠금 해제하세요.,"Curtem um ao outro ou envie mensagens, desbloqueie videochamadas",กดไลค์กันหรือส่งข้อความปลดล็อกแฮงเอาท์วิดีโอ,"Me gusta o envían mensajes, desbloquean videollamadas",एक दूसरे की तरह या वीडियो कॉल अनलॉक करने के लिए एक संदेश भेजें,"Thích nhau hoặc Gửi tin nhắn trực tiếp, sau đó có thể mở khóa cuộc gọi điện video",ایک دوسرے کی طرح یا پیغام بھیجیں براہ راست ، پھر ویڈیو کال انلاک کرسکتے ہیں
2,每天有%s次免费视频电话，额外的视频通话需要%s钻石/次,"You have %s times free video calls every day, and %s diamonds/times for extra",توجد %s فرص مجانية لمكالمات فيديو يوميًا ، ويتطلب الرسم الإضافي للفرص المزيدة وكل مرة %s ماسة,"Her gün %s ücretsiz görüntülü arama hakkı vardır, sonrakiler %s elmas/arama olarak ücretlendirilir.","Ada %s kali panggilan video gratis setiap hari, dan %s berlian / kali untuk tambahan",Есть %s бесплатных видеозвонка каждый день и %s бриллиантов / раз для использования видеозвонков.,매일 %s 회의 무료 화상 통화가 있으며 화상 통화를 사용하려면 %s 개의 다이아몬드가 필요합니다.,Você tem %s videochamadas gratuitas todos os dias e %s diamantes / vezes extras,มีแฮงเอาท์วิดีโอฟรี %s ครั้งทุกวันและ %s เพชร / ครั้งเพื่อใช้แฮงเอาท์วิดีโอ,Hay %s videollamadas gratuitas todos los días y %s diamantes / veces para usar videollamadas,हर दिन %s मुफ्त वीडियो कॉल और वीडियो कॉल का उपयोग करने के लिए %s हीरे / बार हैं,Có %s lần cuộc gọi video miễn phí mỗi ngày và %s kim cương / lần bổ sung,آپ کے پاس روزانہ %s بار مفت ویڈیو کالز ، اور اضافی %s ہیرے / اوقات ہیں
3,等待接听,Waiting to answer,في انتظار الرد,في انتظار الرد,Menunggu jawaban,Жду ответа,답변을 기다리는 중,Esperando para responder,รอตอบครับ,Esperando para contestar,जवाब का इंतजार है,Chờ đợi để trả lời,جواب دینے کا انتظار ہے
4,邀请你视频通话,invite you to a video call,invite you to a video call,sizi görüntülü aramaya davet ediyor.,mengundang Anda ke panggilan video,Пригласите вас на видеовстречу,화상 통화에 초대,Convidar você para uma videochamada,เชิญคุณเข้าร่วมแฮงเอาท์วิดีโอ,Invitarte a una videollamada,आपको वीडियो कॉल पर आमंत्रित करें,mời bạn tham gia cuộc gọi điện video,آپ کو ایک ویڈیو کال میں مدعو کریں گے
5,你的朋友拒绝接听,Your friend refused to answer,صديقك رفض الإجابة,Arkadaşınız aramayı reddetti.,Temanmu menolak menjawab,Ваш друг отказался отвечать,친구가 대답을 거부했습니다,Seu amigo se recusou a responder,เพื่อนคุณไม่ยอมตอบ,Tu amigo se negó a contestar,आपके मित्र ने उत्तर देने से इनकार कर दिया,Bạn của bạn từ chối trả lời,آپ کے دوست نے جواب دینے سے انکار کردیا
6,视频通话邀请,Video chat invitation,دعوة دردشة فيديو,Görüntülü sohbet daveti,Undangan obrolan video,Приглашение в видеочат,영상 채팅 초대,Convite para chat de vídeo,คำเชิญสนทนาทางวิดีโอ,Invitación a video chat,वीडियो चैट आमंत्रण,Lời mời trò chuyện video,ویڈیو چیٹ کی دعوت
7,%s正在请求视频通话,%s is requesting a video call,يطلب %s مكالمة,%s arama yapmak istiyor.,%s meminta panggilan video,%s запрашивает звонок,%s가 전화를 요청하고 있습니다,%s está solicitando uma ligação,%s กำลังขอสาย,%s está solicitando una llamada,%s एक वीडियो कॉल का अनुरोध कर रहा है,%s đang yêu cầu một cuộc gọi điện video,%s ایک ویڈیو کال کی درخواست کر رہا ہے
8,嗨，我们彼此喜欢,"Hi, we like each other",مرحبا ، نحن نحب بعضنا البعض,"Hey, birbirimizi beğendik.","Hai, kami saling menyukai",Привет мы нравимся друг другу,안녕 우린 서로 좋아해,Ola gostamos um do outro,สวัสดีเราชอบกัน,Hola nos gustamos,"नमस्ते, हम एक दूसरे को पसंद करते हैं","Chào, chúng ta thích nhau",ہائے ، ہم ایک دوسرے کو پسند کرتے ہیں
9,互相喜欢，或者花费%s钻石发送消息成为好友,Like each other or spend %s diamonds to send messages directly to become friends,Like each other or spend %s diamonds to send messages directly to become friends,Birbirinizi beğenin veya mesaj göndermek için %s elmas kullanın.,Sukai satu sama lain atau habiskan %s berlian untuk mengirim pesan menjadi teman,Ставьте лайки друг другу или потратьте %s алмазов на отправку сообщений,서로 좋아하거나 다이아몬드 %s 개를 사용해 메시지를 보내세요,Gostem uns dos outros ou gastem %s diamantes para enviar mensagens,กดไลค์ให้กันหรือใช้จ่าย %s เพชรเพื่อส่งข้อความ,"Como el uno al otro, o gastar %s diamantes para enviar mensajes",एक दूसरे की तरह या दोस्तों को संदेश भेजने के लिए %s हीरे खर्च करते हैं,Thích nhau hoặc dành %s kim cương để gửi tin nhắn trở thành bạn bè,ایک دوسرے کی طرح یا دوست بننے کے لئے پیغامات بھیجنے کے لئے %s ہیرے خرچ کریں
10,请输入昵称,Please enter a nickname,يرجى إدخال اسم مستعار,Lütfen kullanıcı adı girin.,Harap masukkan nama panggilan Anda,"Пожалуйста, введите ник",별명을 입력하세요,Por favor insira um apelido,โปรดป้อนชื่อเล่น,Por favor escribe un apodo,कृपया अपना उपनाम दर्ज करें,vui lòng nhập nickname của bạn,براہ کرم اپنا عرفی نام درج کریں
11,请选择生日,Please select birthday,يرجى تحديد تاريخ الميلاد,Lütfen doğum tarihi seçin.,Pilih tanggal lahir Anda,"Пожалуйста, выберите день рождения",생일을 선택하세요,Selecione aniversário,กรุณาเลือกวันเกิด,Por favor seleccione cumpleaños,कृपया जन्मदिन का चयन करें,Vui lòng chọn ngày sinh,براہ کرم اپنی سالگرہ کا انتخاب کریں
12,请选择性别,Please select gender,يرجى تحديد الجنس,Lütfen cinsiyet seçin.,Pilih jenis kelamin Anda,"Пожалуйста, выберите пол",성별을 선택하세요,Por favor selecione um gênero,โปรดเลือกเพศ,Por favor seleccione el género,कृपया लिंग चुनें,Vui lòng chọn giới tính,برائے کرم اپنی جنس منتخب کریں
13,对方还未准备好,The other side is not ready,الطرف الآخر غير جاهز,Karşı taraf hazır değil.,Sisi lain belum siap,Другой участник не готов,상대방이 준비되지 않았습니다.,A outra parte não está pronta,อีกฝ่ายไม่พร้อม,La otra parte no está lista,दूसरी पार्टी तैयार नहीं है,Bên kia chưa sẵn sàng,دوسرا رخ تیار نہیں ہے
14,对方没有露脸，有可能衣着暴露，系统已经为你添加遮罩。你可以挂断，或者移除遮罩。,"The other side does not show face, and may be naked,system has already added a mask for you. You can hang up, or you can remove the mask",الجانب الآخر لا يُظهر الوجه ، وقد يكون عارياً ، لقد أضاف النظام بالفعل قناعًا لك. يمكنك إنهاء المكالمة ، أو يمكنك إزالة القناع,"Karşı taraf yüzünü göstermiyor ve çıplak olabilir. Sistem sizin için bir maske ekledi, aramayı kapatabilir veya maskeyi kaldırabilirsiniz.
","Sisi lain tidak menunjukkan wajah, dan mungkin telanjang, sistem telah menambahkan topeng untuk Anda. Anda bisa menutup telepon, atau melepas topeng","Другая сторона не показывает лицо и может быть обнаженной, система уже добавила вам маску. Вы можете повесить трубку, а можете снять маску",다른 쪽은 얼굴이 보이지 않고 알몸 일 수 있습니다. 시스템이 이미 마스크를 추가했습니다. 전화를 끊거나 마스크를 제거 할 수 있습니다.,"O outro lado não mostra o rosto e pode estar nu, o sistema já adicionou uma máscara para você. Você pode desligar a chamada ou remover a máscara",อีกฝ่ายไม่แสดงใบหน้าของเขาอาจเป็นไปได้ว่าเสื้อผ้าถูกเปิดเผยและระบบได้เพิ่มหน้ากากให้คุณแล้ว คุณสามารถวางสายโทรศัพท์หรือถอดหน้ากากออกได้,"El otro lado no muestra la cara y puede estar desnudo, el sistema ya ha agregado una máscara para ti. Puede colgar la llamada o quitarse la máscara","दूसरा पक्ष चेहरा नहीं दिखाता है, और नग्न हो सकता है, सिस्टम ने पहले ही आपके लिए एक मुखौटा जोड़ दिया है। आप कॉल को लटका सकते हैं, या आप मास्क को हटा सकते हैं","Mặt còn lại không hiển thị khuôn mặt và có thể khỏa thân, hệ thống đã thêm mặt nạ cho bạn. Bạn có thể gác máy hoặc bạn có thể tháo mặt nạ",دوسری طرف چہرہ نہیں دکھاتا ہے ، اور ہوسکتا ہے کہ ننگا ہو ، سسٹم نے پہلے ہی آپ کے لئے ماسک کا اضافہ کردیا ہے۔ آپ کال کو روک سکتے ہیں ، یا آپ ماسک کو ہٹا سکتے ہیں
15,挂断,Hang up,انهاء المكالمة,Kapat,Tutup Telepon,Вешать трубку,끊다,desligar,วางสาย,Colgar,फोन रखती,cúp điện thoại,ہینگ اپ فون
16,不能给自己发消息哦,You can not send message to yourself,لا يجوز ارسال رسائل الى نفسك,Kendinize mesaj gönderemezsiniz.,Anda tidak dapat mengirim pesan ke diri Anda sendiri,Вы не можете отправить сообщение самому себе,자신에게 메시지를 보낼 수 없습니다.,Você não pode enviar mensagem para si mesmo,คุณไม่สามารถส่งข้อความถึงตัวเองได้,No puedes enviarte un mensaje a ti mismo,आप खुद को संदेश नहीं भेज सकते,Bạn không thể gửi tin nhắn cho chính mình,آپ خود کو پیغام نہیں بھیج سکتے
1,我们已收到您的举报，将在24小时内处理,"We've received your report, and will handle it within 24 hours.",لقد تلقينا تقريرك وسنعالجه خلال 24 ساعة,Verdiğiniz bilgiler tarafımıza ulaşmıştır ve 24 saat içinde değerlendirilecektir.,Kami telah menerima laporan Anda dan akan memprosesnya dalam waktu 24 jam.,"Мы уже получили вашу жалобу, будем в течение 24 часа решать вопросы.","당신의 제보를 받았으니, 24시간 내에 처리하겠습니다.",Recebemos seu relatório e trataremos em 24 horas.,เราได้รับรายงานของคุณแล้ว และจะจัดการภายใน 24 ชั่วโมง,Hemos recibido su informe y lo procesaremos dentro de las 24 horas.,"हमने आपकी रिपोर्ट प्राप्त कर ली है, और इसे 24 घंटे के भीतर देख लेंगे",Chúng tôi đã nhận báo cáo của bạn và sẽ xử lý trong 24 tiếng,ہمیں آپ کی رپورٹ موصول ہوچکی ہے ہم ۲۴ گھنٹوں کے اندر اس پر کام کریں گے
2,确定,Confirm,تأكيد,Onayla,Konfirmasikan,Да,확인,Confirmar,ยืนยัน,Confirmar,पुष्टि करें,Xác nhận,تصدیق کریں
3,我们已经在%s收到你的举报，并且会在24小时内处理，感谢您营造良好的Hilo社区环境,We have received your report on %s and will handle it within 24 hours. Thank you for creating a good Hilo community environment.,لقد تلقينا تقريرك عن%s وسنتعامل معه خلال 24 ساعة. شكرا لك على خلق بيئة مجتمعية جيدة هيلو.,%s tarihindeki şikayetiniz bize ulaşmıştır ve 24 saat içinde incelenecektir. Daha iyi bir Hilo topluluğu oluşturmamıza yardım ettiğiniz için teşekkür ederiz.,Kami telah menerima laporan Anda tentang %s dan akan menanganinya dalam waktu 24 jam. Terima kasih telah menciptakan lingkungan komunitas Hilo yang baik.,Мы получили ваш отчет о %s и обработаем его в течение 24 часов. Спасибо за создание хорошей среды сообщества Hilo.,%s 에 대한 귀하의 신고를 접수했으며 24 시간 이내에 처리하겠습니다. 좋은 힐로 커뮤니티 환경을 만들어 주셔서 감사합니다.,Recebemos seu relatório sobre %s e trataremos dele em 24 horas. Obrigado por criar um bom ambiente de comunidade Hilo.,เราได้รับรายงานของคุณเมื่อ %s แล้วและจะจัดการภายใน 24 ชั่วโมง ขอบคุณที่สร้างสภาพแวดล้อมชุมชนไฮโลที่ดี,Hemos recibido su informe sobre %s y lo manejaremos en 24 horas. Gracias por crear un buen entorno comunitario de Hilo.,हमने आपकी रिपोर्ट %s पर प्राप्त कर ली है और इसे 24 घंटे के भीतर संभाल लेंगे। एक अच्छा हिलो सामुदायिक वातावरण बनाने के लिए धन्यवाद।,Chúng tôi đã nhận được báo cáo của bạn về %s và sẽ xử lý nó trong vòng 24 giờ. Cảm ơn bạn đã tạo ra một môi trường cộng đồng Hilo tốt.,ہمیں %s پر آپ کی اطلاع موصول ہوئی ہے اور 24 گھنٹوں کے اندر اس کو سنبھال لیں گے۔ ہیلو کمیونٹی کا اچھا ماحول بنانے کے لئے آپ کا شکریہ۔
4,安全守护指引,Security Guard Guidelines,إرشادات الأمن,Güvenlik Kılavuzu,Pedoman Penjaga Keamanan,Рекомендации для охранника,경비원 지침,Diretrizes de segurança,แนวทางการรักษาความปลอดภัย,Directrices de guardias de seguridad,सुरक्षा गार्ड दिशानिर्देश,Nguyên tắc bảo vệ,سیکیورٹی گارڈ کے رہنما خطوط
5,视频通话过程中，如果遇到不良用户，可以进行举报，我们会在24小时内进行处理。,"During the video call, if you encounter a bad user, you can report it and we will handle it within 24 hours.",أثناء مكالمة الفيديو ، إذا واجهت مستخدمًا سيئًا ، يمكنك الإبلاغ عنه وسنتعامل معه خلال 24 ساعة.,Görüntülü arama sırasında kötü amaçlı bir kullanıcıyla karşılaşırsanız bu kişiyi şikayet edebilirsiniz. 24 saat içinde şikayetinizi değerlendireceğiz.,"Selama panggilan video, jika Anda menemukan pengguna yang buruk, Anda dapat melaporkannya dan kami akan menanganinya dalam waktu 24 jam.","Если во время видеозвонка вы столкнетесь с плохим пользователем, вы можете сообщить об этом, и мы обработаем его в течение 24 часов.",영상 통화 중 불량 사용자를 만나면 신고하시면 24 시간 이내에 처리해드립니다.,"Durante a videochamada, se você encontrar um usuário mal-intencionado, pode denunciá-lo e nós cuidaremos disso em 24 horas.",ในระหว่างการโทรวิดีโอหากคุณพบผู้ใช้ที่ไม่ดีคุณสามารถรายงานได้และเราจะจัดการภายใน 24 ชั่วโมง,"Durante la videollamada, si encuentra un mal usuario, puede denunciarlo y lo manejaremos en 24 horas.","वीडियो कॉल के दौरान, यदि आप किसी बुरे उपयोगकर्ता से मिलते हैं, तो आप इसे रिपोर्ट कर सकते हैं और हम इसे 24 घंटे के भीतर संभाल लेंगे।","Trong cuộc gọi video, nếu gặp người dùng xấu, bạn có thể báo cáo và chúng tôi sẽ xử lý trong vòng 24 giờ.",ویڈیو کال کے دوران ، اگر آپ کو کسی خراب صارف کا سامنا کرنا پڑتا ہے تو ، آپ اس کی اطلاع دے سکتے ہیں اور ہم اسے 24 گھنٹوں میں سنبھال لیں گے۔
6,视频通话过程中，如果无法检测到对方的脸，我们会自动为您模糊视频，从而为您营造安全的环境。,"During the video call, if the other side’s face cannot be detected, we will automatically blur the video to create a safe environment for you.",أثناء مكالمة الفيديو ، إذا تعذر اكتشاف وجه الطرف الآخر ، فسنعمل على تعتيم الفيديو تلقائيًا لإنشاء بيئة آمنة لك.,Görüntülü arama sırasında karşı tarafın yüzü belirlenemiyorsa sizin için güvenli bir ortam sağlamak amacıyla görüntüyü otomatik olarak bulanıklaştıracağız.,"Selama video call, jika wajah pihak lain tidak dapat dideteksi, kami akan secara otomatis memburamkan video tersebut untuk menciptakan lingkungan yang aman bagi Anda.","Если во время видеовстречи не удается обнаружить лицо собеседника, мы автоматически размываем видео, чтобы создать для вас безопасную среду.",화상 통화 중에 상대방의 얼굴이 감지되지 않으면 자동으로 영상을 흐리게 처리하여 안전한 환경을 조성합니다.,"Durante a videochamada, se o rosto do outro lado não for detectado, desfocaremos o vídeo automaticamente para criar um ambiente seguro para você.",ระหว่างแฮงเอาท์วิดีโอหากตรวจไม่พบใบหน้าของอีกฝ่ายเราจะเบลอวิดีโอโดยอัตโนมัติเพื่อสร้างสภาพแวดล้อมที่ปลอดภัยสำหรับคุณ,"Durante la videollamada, si no se puede detectar la cara del otro lado, automáticamente desenfocaremos el video para crear un entorno seguro para usted.","वीडियो कॉल के दौरान, यदि दूसरे पक्ष के चेहरे का पता नहीं लगाया जा सकता है, तो हम आपके लिए एक सुरक्षित वातावरण बनाने के लिए वीडियो को स्वचालित रूप से धुंधला कर देंगे।","Trong cuộc gọi điện video, nếu không thể phát hiện được khuôn mặt của bên kia, chúng tôi sẽ tự động làm mờ video để tạo môi trường an toàn cho bạn.",ویڈیو کال کے دوران ، اگر دوسری طرف کے چہرے کا پتہ نہیں چل سکا تو ، ہم آپ کے لئے محفوظ ماحول پیدا کرنے کیلئے ویڈیو کو خود بخود دھندلا کردیں گے۔
7,我明白了,I understand,انا فاهم,Anladım.,saya mengerti,Я понимаю,이해 했어요,Compreendo,ฉันเข้าใจ,entiendo,मुझे समझ,tôi hiểu,میں سمجھ گیا
1,喜欢,Like,اعجاب,Beğeni,Suka,подобно,처럼,Gostar,ชอบ,me gusta,पसंद,giống,پسند ہے
2,访客,Visitor,زائر,Ziyaretçi,Pengunjung,Посетители,방문자,Visitantes,ผู้เยี่ยมชม,Visitantes,आगंतुकों,Khách,زائرین
3,历史,History,تسجيل,Geçmiş,Sejarah,история,역사,história,ประวัติศาสตร์,historia,इतिहास,lịch sử,تاریخ
4,消息,Message,رسالة,Mesaj,Pesan,Новости,뉴스,Mensagem,ข่าว,Mensaje,समाचार,Tin tức,خبریں
5,我喜欢,I Like,يعجبني,Beğendiklerim,Saya suka,мне нравится,나는 좋아,Eu gosto,ฉันชอบ,me gusta,मुझे पसंद,tôi thích,مجھے پسند ہے
6,遇见%s天,Meet %s days,تلبية %s يوم,%s gündür tanışılıyor.,Bertemu %s hari,Встретил %s дня,%s 일 만남,Cumprido %s dias,พบ %s วัน,Cumplió %s días,%s दिन मिले,Đã gặp %s ngày,%s دن ملا
7,刚刚有人喜欢你,Someone like you just now,اعجبت شخص قبل شوي,Az önce biri seni beğendi.,Seseorang sepertimu barusan,Кто-то вроде тебя только что,방금 너 같은 사람,Alguém como você agora,คนอย่างคุณเมื่อกี้,Alguien como tu justo ahora,आप जैसा कोई अभी अभी,Một người như bạn vừa rồi,ابھی آپ جیسے کوئی
"8
（%s为昵称）",%s悄悄喜欢你，快去互相喜欢吧！,"%s likes you quietly, check and like each other!",%s معجب بك بهدوء ، انطلق وأحب بعضكما البعض!,%s kişi seni gizlice beğendi. Hemen karşılık ver!,"%s diam-diam menyukaimu, pergi dan sukai satu sama lain!","%s любит вас спокойно, идите и нравитесь друг другу!",%s 당신처럼 조용히 가서 서로 좋아하세요!,"%s gosta silenciosamente de você, vão e gostem!",%s ชอบเธอเงียบ ๆ ไปไลค์กัน!,"%s ¡Como ustedes en silencio, vayan y se gusten!","%s आप की तरह चुपचाप, जाओ और एक दूसरे की तरह!","%s thích bạn lặng lẽ, đi và thích nhau!",%s آپ کو خاموشی سے پسند کرتا ہے ، جاؤ اور ایک دوسرے کی طرح!
